continent,category,year_founded
Africa,Agriculture,1947
Africa,Aviation & Transport,1854
Africa,Banking & Finance,1892
Africa,"Distillers, Vintners, & Breweries",1933
Africa,Energy,1968
Africa,Food & Beverages,1878
Africa,Manufacturing & Production,1820
Africa,Media,1943
Africa,Mining,1962
Africa,Postal Service,1772
Asia,Agriculture,1930
Asia,Aviation & Transport,1858
Asia,Banking & Finance,1830
Asia,"Cafés, Restaurants & Bars",1153
Asia,Conglomerate,1841
Asia,Construction,578
Asia,Defense,1808
Asia,"Distillers, Vintners, & Breweries",1853
Asia,Energy,1928
Asia,Food & Beverages,1820
Asia,Manufacturing & Production,1736
Asia,Media,1931
Asia,Mining,1913
Asia,Postal Service,1800
Asia,Retail,1883
Asia,Telecommunications,1885
Asia,Tourism & Hotels,1584
Europe,Agriculture,1218
Europe,Banking & Finance,1606
Europe,"Cafés, Restaurants & Bars",803
Europe,Consumer Goods,1649
Europe,Defense,1878
Europe,"Distillers, Vintners, & Breweries",862
Europe,Manufacturing & Production,864
Europe,Medical,1422
Europe,Mining,1248
Europe,Postal Service,1520
Europe,Telecommunications,1912
Europe,Tourism & Hotels,1230
North America,Agriculture,1638
North America,Aviation & Transport,1870
North America,Banking & Finance,1891
North America,"Distillers, Vintners, & Breweries",1703
North America,Food & Beverages,1920
North America,Manufacturing & Production,1534
North America,Media,1909
North America,Retail,1670
North America,Tourism & Hotels,1770
Oceania,Banking & Finance,1861
Oceania,Postal Service,1809
South America,Banking & Finance,1565
South America,"Cafés, Restaurants & Bars",1877
South America,Defense,1811
South America,Food & Beverages,1660
South America,Manufacturing & Production,1621
